benchmark,variant_dir,scale,variant_num,status,cycles,instructions,wallclock_s
libhuffbench,variant_13,0.03,0,PASS,3487543,2270073,8.017
libhuffbench,variant_14,0.05,0,PASS,3486439,2268969,5.775
libhuffbench,variant_15,0.07,0,PASS,3486439,2268969,8.708
libhuffbench,variant_16,0.1,0,PASS,3486439,2268969,5.877
libhuffbench,variant_17,0.15,0,PASS,3486439,2268969,7.67
libhuffbench,variant_18,0.2,0,PASS,3486439,2268969,5.774
libhuffbench,variant_19,0.3,0,PASS,3486415,2268945,6.843
libhuffbench,variant_20,0.4,0,PASS,3486631,2269161,6.491
libhuffbench,variant_21,0.5,0,PASS,3486427,2268981,6.464
libhuffbench,variant_22,0.6,0,PASS,3486355,2268909,8.604
libhuffbench,variant_23,0.7,0,PASS,3486367,2268921,6.855
libhuffbench,variant_24,0.85,0,PASS,3486355,2268909,7.762
libhuffbench,variant_25,0.9,0,PASS,3486415,2268969,8.63
libhuffbench,variant_26,1,0,PASS,3486352,2268907,6.155
libnsichneu,variant_original,original,,PASS,4078217,2238742,9.253
libnsichneu,variant_gp,gp,,PASS,4078217,2238742,6.683
libnsichneu,variant_0,0,0,PASS,4408406,2285567,7.094
libnsichneu,variant_1,0.0001,0,PASS,4462640,2257221,9.328
libnsichneu,variant_2,0.0002,0,PASS,4462640,2257221,8.364
libnsichneu,variant_3,0.0005,0,PASS,4090538,2252295,9.502
libnsichneu,variant_4,0.001,0,PASS,4090538,2252295,8.958
libnsichneu,variant_5,0.0015,0,PASS,4090538,2252295,6.537
libnsichneu,variant_6,0.002,0,PASS,4090538,2252295,9.354
libnsichneu,variant_7,0.003,0,PASS,4090538,2252295,9.211
libnsichneu,variant_8,0.005,0,PASS,4090538,2252295,9.497
libnsichneu,variant_9,0.007,0,PASS,4090538,2252295,7.327
libnsichneu,variant_10,0.01,0,PASS,4090538,2252295,8.614
libnsichneu,variant_11,0.015,0,PASS,4090538,2252295,8.839
libnsichneu,variant_12,0.02,0,PASS,4090538,2252295,8.194
libnsichneu,variant_13,0.03,0,PASS,4090538,2252295,9.048
libnsichneu,variant_14,0.05,0,PASS,4090538,2252295,8.877
libnsichneu,variant_15,0.07,0,PASS,4090538,2252295,8.337
libnsichneu,variant_16,0.1,0,PASS,4090538,2252295,8.085
libnsichneu,variant_17,0.15,0,PASS,4090538,2252295,8.958
libnsichneu,variant_18,0.2,0,PASS,4090538,2252295,8.772
libnsichneu,variant_19,0.3,0,PASS,4090538,2252295,6.407
libnsichneu,variant_20,0.4,0,PASS,4090538,2252295,8.906
libnsichneu,variant_21,0.5,0,PASS,4090538,2252295,8.532
libnsichneu,variant_22,0.6,0,PASS,4090538,2252295,8.588
libnsichneu,variant_23,0.7,0,PASS,4090538,2252295,8.477
libnsichneu,variant_24,0.85,0,PASS,4090538,2252295,8.697
libnsichneu,variant_25,0.9,0,PASS,4090538,2252295,8.371
libnsichneu,variant_26,1,0,PASS,4078217,2238742,8.833
libslre,variant_original,original,,PASS,3595944,2429598,8.442
libslre,variant_gp,gp,,PASS,3595944,2429598,6.333
libslre,variant_0,0,0,PASS,4377615,3047535,11.234
libslre,variant_1,0.0001,0,PASS,4338985,3034881,10.713
libslre,variant_2,0.0002,0,PASS,4338985,3034881,10.459
libslre,variant_3,0.0005,0,PASS,3962247,2696555,7.166
libslre,variant_4,0.001,0,PASS,3820275,2653929,7.65
libslre,variant_5,0.0015,0,PASS,3668871,2502525,8.016
libslre,variant_6,0.002,0,PASS,3668871,2502525,6.654
libslre,variant_7,0.003,0,PASS,3668871,2502525,9.33
libslre,variant_8,0.005,0,PASS,3630909,2464563,7.042
libslre,variant_9,0.007,0,PASS,3610041,2443695,9.421
libslre,variant_10,0.01,0,PASS,3595944,2429598,8.692
libslre,variant_11,0.015,0,PASS,3595944,2429598,6.306
libslre,variant_12,0.02,0,PASS,3595944,2429598,6.225
libslre,variant_13,0.03,0,PASS,3595944,2429598,6.258
libslre,variant_14,0.05,0,PASS,3595944,2429598,9.37
libslre,variant_15,0.07,0,PASS,3595944,2429598,7.973
libslre,variant_16,0.1,0,PASS,3595944,2429598,8.63
libslre,variant_17,0.15,0,PASS,3595944,2429598,7.978
libslre,variant_18,0.2,0,PASS,3595944,2429598,9.337
libslre,variant_19,0.3,0,PASS,3595944,2429598,8.257
libslre,variant_20,0.4,0,PASS,3595944,2429598,6.657
libslre,variant_21,0.5,0,PASS,3595944,2429598,8.227
libslre,variant_22,0.6,0,PASS,3595944,2429598,8.835
libslre,variant_23,0.7,0,PASS,3595944,2429598,6.369
libslre,variant_24,0.85,0,PASS,3595944,2429598,7.816
libslre,variant_25,0.9,0,PASS,3595944,2429598,8.682
libslre,variant_26,1,0,PASS,3595944,2429598,8.409
libstatemate,variant_original,original,,PASS,2406560,1452965,3.892
libstatemate,variant_gp,gp,,PASS,2406560,1452965,5.421
libstatemate,variant_0,0,0,PASS,2414553,1506092,4.813
libstatemate,variant_1,0.0001,0,PASS,2453747,1458865,4.935
libstatemate,variant_2,0.0002,0,PASS,2453747,1458865,5.296
libstatemate,variant_3,0.0005,0,PASS,2453747,1458865,5.968
libstatemate,variant_4,0.001,0,PASS,2453747,1458865,5.166
libstatemate,variant_5,0.0015,0,PASS,2406587,1452992,5.448
libstatemate,variant_6,0.002,0,PASS,2406567,1452972,5.836
libstatemate,variant_7,0.003,0,PASS,2406567,1452972,5.611
libstatemate,variant_8,0.005,0,PASS,2406567,1452972,4.685
libstatemate,variant_9,0.007,0,PASS,2406567,1452972,5.688
libstatemate,variant_10,0.01,0,PASS,2406567,1452972,5.364
libstatemate,variant_11,0.015,0,PASS,2406567,1452972,4.314
libstatemate,variant_12,0.02,0,PASS,2406567,1452972,5.31
libstatemate,variant_13,0.03,0,PASS,2406567,1452972,5.798
libstatemate,variant_14,0.05,0,PASS,2406567,1452972,6.093
libstatemate,variant_15,0.07,0,PASS,2406567,1452972,5.826
libstatemate,variant_16,0.1,0,PASS,2406567,1452972,5.604
libstatemate,variant_17,0.15,0,PASS,2406567,1452972,5.771
